S1,ST,S1_conf,ST_conf,names,Response,Method,ST-S1,Year
0.013368095042731504,0.49688127550460337,0.029083036743496656,0.06045994012024582,[Maize].Phenology.Juvenile.Target.FixedValue,Yield,fast,0.48351318046187186,1990
0.0058147056286141285,0.009430221981361897,0.02795194398785071,0.05646391363403166,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,Yield,fast,0.0036155163527477685,1990
0.009935938798642546,0.02227382572440828,0.036350396469994085,0.05391033555875951,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,Yield,fast,0.012337886925765734,1990
0.009483516223661679,0.027096465115586943,0.0359342032580721,0.06612046039414417,[Maize].Phenology.GrainFilling.Target.FixedValue,Yield,fast,0.017612948891925266,1990
6.902720174284429e-05,0.001048448188920359,0.03168127515119351,0.06331450266110464,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,Yield,fast,0.0009794209871775146,1990
0.06429139717339623,0.12257765642402663,0.03754274973385977,0.05280240924432459,[Maize].Grain.MaximumGrainsPerCob.FixedValue,Yield,fast,0.0582862592506304,1990
2.1906387026716546e-05,0.0012605740592046555,0.03167806250182985,0.0625888406458479,[Maize].Root.SpecificRootLength.FixedValue,Yield,fast,0.001238667672177939,1990
2.439971048950657e-05,0.0010544777293870489,0.03561437913291997,0.0641891764925441,[Maize].Phenology.Maturing.Target.FixedValue,Yield,fast,0.0010300780188975422,1990
0.38732385685720916,0.6864705486330116,0.035943989993283944,0.06565592656204755,[Maize].Leaf.Photosynthesis.RUE.FixedValue,Yield,fast,0.29914669177580244,1990
0.05592341267922955,0.10726378964429151,0.03056657618704289,0.05991858061254778,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,Yield,fast,0.051340376965061954,1990
0.0072134545956093555,0.018387290666100564,0.03503807689125676,0.05810472682552645,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,Yield,fast,0.01117383607049121,1990
1.7912610452374865e-05,0.0032770824833766588,0.03596290525542851,0.05726827815462717,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,Yield,fast,0.0032591698729242838,1990
0.2873533106703966,0.3881080362028012,0.037120078119972394,0.06250126139233186,[Maize].Phenology.Juvenile.Target.FixedValue,AGB,fast,0.10075472553240461,1990
0.0038431532240152137,0.006488656156524053,0.032319955464253,0.06162454931727371,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,AGB,fast,0.0026455029325088393,1990
0.0005822776606716741,0.004462693633480619,0.03730707165353309,0.06527029555910223,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,AGB,fast,0.003880415972808945,1990
0.0049799363146672635,0.02109908138104355,0.036422222941805436,0.055074424519612745,[Maize].Phenology.GrainFilling.Target.FixedValue,AGB,fast,0.016119145066376288,1990
0.0011731508751871623,0.002804187380301415,0.03505330873755193,0.06054208442311788,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,AGB,fast,0.0016310365051142527,1990
0.0021552980422143396,0.039272259076255644,0.03158451274756506,0.06876554920419263,[Maize].Grain.MaximumGrainsPerCob.FixedValue,AGB,fast,0.0371169610340413,1990
7.051155114251013e-06,0.00047181542709950897,0.036138601105795046,0.05679749807734038,[Maize].Root.SpecificRootLength.FixedValue,AGB,fast,0.00046476427198525794,1990
8.932410354175695e-06,0.0005343272315901926,0.033983076729291475,0.06880980297505855,[Maize].Phenology.Maturing.Target.FixedValue,AGB,fast,0.0005253948212360169,1990
0.5914091834042785,0.6946567909282053,0.031962679010988544,0.06728335277436374,[Maize].Leaf.Photosynthesis.RUE.FixedValue,AGB,fast,0.10324760752392681,1990
0.0025678634262757505,0.043603960844968204,0.03615756194406319,0.06905163032959197,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,AGB,fast,0.041036097418692456,1990
0.001763521378468711,0.0050915460950783364,0.03578941870421248,0.05752977689952585,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,AGB,fast,0.0033280247166096255,1990
2.0978147324363864e-05,0.0012973272436260785,0.027787830547577174,0.06382750752044263,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,AGB,fast,0.0012763490963017146,1990
0.096137474981461,0.39947187066308076,0.03504698031537935,0.0588571892344222,[Maize].Phenology.Juvenile.Target.FixedValue,TopN2O,fast,0.3033343956816198,1990
4.41730832321568e-05,0.0003106440248331621,0.04222380498394125,0.05543592794983269,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,TopN2O,fast,0.0002664709416010053,1990
1.5248662346467725e-05,0.0002592491744389802,0.031665429122783834,0.05962449837272964,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,TopN2O,fast,0.0002440005120925125,1990
0.0001759624676988308,0.0007515545052786399,0.03640936224826788,0.06519499281645554,[Maize].Phenology.GrainFilling.Target.FixedValue,TopN2O,fast,0.000575592037579809,1990
4.7063924852155505e-05,0.00024030901141813832,0.0409137915102283,0.056655805168736834,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,TopN2O,fast,0.00019324508656598283,1990
0.00012766125382040672,0.0007244664289551839,0.029572487588679395,0.06320030617741805,[Maize].Grain.MaximumGrainsPerCob.FixedValue,TopN2O,fast,0.0005968051751347772,1990
7.71755525879324e-06,0.0001761763808582062,0.03232909514564803,0.05601896377017138,[Maize].Root.SpecificRootLength.FixedValue,TopN2O,fast,0.00016845882559941296,1990
7.4129642052613195e-06,0.00016120447942102878,0.02994634447039165,0.06586069673119234,[Maize].Phenology.Maturing.Target.FixedValue,TopN2O,fast,0.00015379151521576745,1990
0.6136877049239725,0.9141963144867279,0.0314507009037132,0.05773292331984079,[Maize].Leaf.Photosynthesis.RUE.FixedValue,TopN2O,fast,0.3005086095627554,1990
0.0003456583847337217,0.005259181839191829,0.02804745736483893,0.05807909841229426,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,TopN2O,fast,0.004913523454458107,1990
1.5423422002691416e-05,0.0010901878193209091,0.037711357982733264,0.06220935487672685,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,TopN2O,fast,0.0010747643973182178,1990
3.6746157905191794e-05,0.0006541657891819819,0.034923203753700234,0.05039870030394356,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,TopN2O,fast,0.0006174196312767901,1990
0.1819833163116944,0.42755344849812515,0.033053831104750735,0.06104713100172992,[Maize].Phenology.Juvenile.Target.FixedValue,soc0_10cm,fast,0.24557013218643076,1990
2.5543383681756955e-06,0.0009103592677480732,0.029718034291361283,0.06015488206915046,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,soc0_10cm,fast,0.0009078049293798975,1990
7.718640759980883e-06,0.0002731559624815638,0.03386676407315447,0.06138913339158563,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,soc0_10cm,fast,0.00026543732172158295,1990
0.0028335862533214818,0.023922505278577866,0.03593241875212765,0.06497820269495677,[Maize].Phenology.GrainFilling.Target.FixedValue,soc0_10cm,fast,0.021088919025256385,1990
0.0003299080381581048,0.0010720906002065211,0.031810423156432774,0.056951995905352486,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,soc0_10cm,fast,0.0007421825620484164,1990
2.635269996500597e-06,0.0005240821902102732,0.036935375637879936,0.06756069988989782,[Maize].Grain.MaximumGrainsPerCob.FixedValue,soc0_10cm,fast,0.0005214469202137726,1990
8.492545663322496e-06,0.0002916381622267705,0.034102984559313106,0.0604334440593732,[Maize].Root.SpecificRootLength.FixedValue,soc0_10cm,fast,0.00028314561656344803,1990
8.67076164955565e-06,0.00026852176111380466,0.03853600273194837,0.056747812354989505,[Maize].Phenology.Maturing.Target.FixedValue,soc0_10cm,fast,0.000259850999464249,1990
0.6168349490388437,0.8241836533674782,0.034968160310164,0.06468132497127578,[Maize].Leaf.Photosynthesis.RUE.FixedValue,soc0_10cm,fast,0.2073487043286345,1990
0.00010386077126485027,0.00481245440052791,0.03637952131116701,0.06812479157484853,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,soc0_10cm,fast,0.00470859362926306,1990
1.262534927152111e-05,0.0011825032417914771,0.03286625631202154,0.05276402573609958,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,soc0_10cm,fast,0.001169877892519956,1990
0.00035562316007810003,0.005111310400288005,0.028264744847804668,0.05937394925739494,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,soc0_10cm,fast,0.004755687240209905,1990
0.21529819680620368,0.5237904784818526,0.0353389048333656,0.05363700274912016,[Maize].Phenology.Juvenile.Target.FixedValue,Top_respiration,fast,0.3084922816756489,1990
0.0016992784929262914,0.004869162517475156,0.03752609942252736,0.06379260985817162,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,Top_respiration,fast,0.003169884024548865,1990
0.0007599209604589497,0.005023431762562147,0.032793462299228755,0.06779641213193276,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,Top_respiration,fast,0.004263510802103198,1990
0.03284309296570182,0.11956949763671387,0.04420168211046061,0.06571248619847303,[Maize].Phenology.GrainFilling.Target.FixedValue,Top_respiration,fast,0.08672640467101206,1990
0.0003265295232120931,0.002081010824219076,0.030166416017005277,0.06182883756630761,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,Top_respiration,fast,0.001754481301006983,1990
