,,Maize.Grain.Size,Maize.Grain.Size,Maize.Grain.Size,Maize.Grain.Size,Maize.Grain.Size,Maize.Grain.Size,Maize.Grain.Size,Maize.Grain.Size,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Population,Amount,,,,,,,,,,,,,,,,
10,0,10.0,0.13023860781772792,0.06620629929449745,0.0,0.10734049237275821,0.12237736098902924,0.15193007606070755,0.24199414368655198,10.0,1625.022286253456,1290.409347420759,0.0,815.0329979636394,1178.3871603649438,2433.7385778436706,4352.8453497327355
10,100,10.0,0.243952225796352,0.06655287397817754,0.12740982274279974,0.2167220202692555,0.2589425015082818,0.2995040799605111,0.3078948908492837,10.0,5192.6308196683685,3332.631854880847,880.6174071200869,2840.5672682934432,3649.6250008992547,8166.521470557232,10442.634518947332
10,250,10.0,0.2519168419068145,0.09081221690440572,0.0,0.2553949088397659,0.2737757366725343,0.29843785446699134,0.30778456738669147,10.0,6145.238113130281,3930.066982425799,13.881359569162244,2745.0849504103,6698.638549459472,9325.952574734449,10839.453801523598
4,0,10.0,0.15131092856061285,0.05064635108745303,0.09731300501437426,0.10710819551961208,0.14337633971438205,0.18918191421925745,0.24552590120269133,10.0,1911.372525895517,1277.0794183443522,510.1915748518037,967.5490506519725,1498.6014489193146,2620.040937237837,4462.043386051449
4,100,10.0,0.2823513398093117,0.027183347352651002,0.21987994630240085,0.2690786874548818,0.29654516283648646,0.29875284998479024,0.30127634289152516,10.0,4834.736771937666,2024.2015200927897,870.2244059210007,3562.1988679573833,5274.252320133067,6572.485818530036,6628.079543613553
4,250,10.0,0.2849096897573464,0.025486911353855887,0.21978349710331646,0.2831284035212096,0.29750558522289117,0.29876242444469014,0.30127634289152516,10.0,4754.6585212752825,2039.5685734214044,768.7059090855861,3478.219162575835,5048.914650337183,6572.485818530036,6628.079543613553
